action	path	status	notes
write_MIT_LICENSE	LICENSE	PASS	Applies to custom code in this repository.
remove_obsolete_license_placeholder	obsolete_license_placeholder_removed	PASS	
update_GitHub_README_public_notes	README.md	PASS	
exclude_nonportable_script_from_public_release	code/05_GBI_construction/qc_endpointfix_gbi.py	PASS	Excluded original path: code/05_GBI_construction/qc_endpointfix_gbi.py
exclude_nonportable_script_from_public_release	code/05_GBI_construction/qc_endpointfix_no_fuse_gbi.py	PASS	Excluded original path: code/05_GBI_construction/qc_endpointfix_no_fuse_gbi.py
exclude_nonportable_script_from_public_release	code/07_nested_ttest_baseline_gLOOCV/render_phase12B_figures.R	PASS	Excluded original path: code/07_nested_ttest_baseline_gLOOCV/render_phase12B_figures.R
exclude_nonportable_script_from_public_release	code/07_nested_ttest_baseline_gLOOCV/run_phase12B_nested_ttest_baseline.R	PASS	Excluded original path: code/07_nested_ttest_baseline_gLOOCV/run_phase12B_nested_ttest_baseline.R
exclude_nonportable_script_from_public_release	code/08_Figure4_Figure5_alignment/apply_opus47_phase13_patch.R	PASS	Excluded original path: code/08_Figure4_Figure5_alignment/apply_opus47_phase13_patch.R
exclude_nonportable_script_from_public_release	code/08_Figure4_Figure5_alignment/fix_figure4_combined_artifact.R	PASS	Excluded original path: code/08_Figure4_Figure5_alignment/fix_figure4_combined_artifact.R
exclude_nonportable_script_from_public_release	code/08_Figure4_Figure5_alignment/render_phase13_svg_outputs.R	PASS	Excluded original path: code/08_Figure4_Figure5_alignment/render_phase13_svg_outputs.R
exclude_nonportable_script_from_public_release	code/08_Figure4_Figure5_alignment/run_phase13_figure4_5_alignment.R	PASS	Excluded original path: code/08_Figure4_Figure5_alignment/run_phase13_figure4_5_alignment.R
exclude_nonportable_script_from_public_release	code/09_corrected_full_data_LASSO_architecture/run_phase12A_corrected_lasso_sensitivity.R	PASS	Excluded original path: code/09_corrected_full_data_LASSO_architecture/run_phase12A_corrected_lasso_sensitivity.R
exclude_nonportable_script_from_public_release	code/10_foldwise_ASR_sensitivity/run_foldwise_ASR_sensitivity.R	PASS	Excluded original path: code/10_foldwise_ASR_sensitivity/run_foldwise_ASR_sensitivity.R
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure1/Figure1C.R	PASS	Excluded original path: code/11_figure_generation/Figure1/Figure1C.R
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure1/Figure1C_JQ.R	PASS	Excluded original path: code/11_figure_generation/Figure1/Figure1C_JQ.R
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure1/Figure1C_marine_3_clade.R	PASS	Excluded original path: code/11_figure_generation/Figure1/Figure1C_marine_3_clade.R
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure2/plot_Figure2C_endpointfix_OOF_main_vFinal.py	PASS	Excluded original path: code/11_figure_generation/Figure2/plot_Figure2C_endpointfix_OOF_main_vFinal.py
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure2/plot_Figure2_endpointfix.py	PASS	Excluded original path: code/11_figure_generation/Figure2/plot_Figure2_endpointfix.py
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure2/plot_Figure2_endpointfix.template_from_old_figure.R	PASS	Excluded original path: code/11_figure_generation/Figure2/plot_Figure2_endpointfix.template_from_old_figure.R
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure4/prepare_inputs_and_make_Figure4A_corrected.R	PASS	Excluded original path: code/11_figure_generation/Figure4/prepare_inputs_and_make_Figure4A_corrected.R
exclude_nonportable_script_from_public_release	code/11_figure_generation/Figure5/make_Figure5_final_artwork_draft.py	PASS	Excluded original path: code/11_figure_generation/Figure5/make_Figure5_final_artwork_draft.py
exclude_nonportable_script_from_public_release	code/99_release_package_build/build_nature_submission_reproducibility_package.py	PASS	Excluded original path: code/99_release_package_build/build_nature_submission_reproducibility_package.py
exclude_nonportable_script_from_public_release	metadata/branch_label_mapping/scripts_build_branch_label_crosswalk.py	PASS	Excluded original path: metadata/branch_label_mapping/scripts_build_branch_label_crosswalk.py
write_nonportable_script_manifest	provenance_scripts/nonportable_script_manifest.tsv	PASS	
update_branch_mapping_README_after_script_isolation	metadata/branch_label_mapping/README_branch_label_mapping.md	PASS	
scrub_local_absolute_paths	env/python_pip_freeze.txt	PASS	
scrub_local_absolute_paths_summary	.	PASS	text_files_modified=1
fix_alignment_QC_workflow_link	code/01_alignment_QC/README.md	PASS	
fix_smoke_test_source_data_case	tests/smoke_tests	PASS	text_files_modified=3
rewrite_known_limitations_public	docs/known_limitations.md	PASS	
remove_local_file_url_from_python_pip_freeze	env/python_pip_freeze.txt	PASS	
write_gitignore	.gitignore	PASS	
refresh_source_data_manifest	data_manifest/source_data_manifest.tsv	PASS	
refresh_external_data_sources_manifest	data_manifest/external_data_sources.tsv	PASS	Mirrored from Dryad public external data manifest.
update_docs_data_code_availability	docs/data_code_availability_draft.md	PASS	
